id,order_id,payment_ref,amount_paise,fee_paise,tax_paise,refund_amount_paise,method,status,captured_at
10000000-0000-4000-8000-000000000037,00000000-0000-4000-8000-000000000037,pay_06XQ9JB354MYPE,142800,2856,514,0,UPI,CAPTURED,2026-08-18T18:37:51
10000000-0000-4000-8000-000000000038,00000000-0000-4000-8000-000000000038,pay_JLZY1UU9YMSZDX,95200,1904,343,0,CARD,CAPTURED,2026-07-08T16:02:57
10000000-0000-4000-8000-000000000039,00000000-0000-4000-8000-000000000039,pay_Y8NBIQUWRXZE1H,358800,7176,1292,0,NETBANKING,CAPTURED,2026-06-25T20:28:38
10000000-0000-4000-8000-000000000040,00000000-0000-4000-8000-000000000040,pay_3DXVL5PVYIOMK2,304400,6088,1096,0,CARD,CAPTURED,2026-06-02T21:04:06
10000000-0000-4000-8000-000000000041,00000000-0000-4000-8000-000000000041,pay_YK1B3D5050UI22,1395100,27902,5022,0,NETBANKING,CAPTURED,2026-07-28T05:20:15
10000000-0000-4000-8000-000000000042,00000000-0000-4000-8000-000000000042,pay_K2TCZS8S2FTOM5,1028500,20570,3703,0,NETBANKING,CAPTURED,2026-08-23T22:46:19
10000000-0000-4000-8000-000000000043,00000000-0000-4000-8000-000000000043,pay_H350P3CYAZBCGJ,1389000,27780,5000,0,UPI,CAPTURED,2026-08-02T15:27:00
10000000-0000-4000-8000-000000000044,00000000-0000-4000-8000-000000000044,pay_FBUOTDH00H64FG,1453100,29062,5231,0,NETBANKING,CAPTURED,2026-08-28T20:09:18
10000000-0000-4000-8000-000000000045,00000000-0000-4000-8000-000000000045,pay_1RDXCK36H0W064,749500,14990,2698,0,UPI,CAPTURED,2026-06-29T16:51:33
10000000-0000-4000-8000-000000000046,00000000-0000-4000-8000-000000000046,pay_5BXD8WJ0UUNNV6,789400,15788,2842,0,UPI,CAPTURED,2026-07-14T14:08:05
10000000-0000-4000-8000-000000000047,00000000-0000-4000-8000-000000000047,pay_AZXKDQ95G3V23G,943300,18866,3396,0,NETBANKING,CAPTURED,2026-07-09T21:49:24
10000000-0000-4000-8000-000000000048,00000000-0000-4000-8000-000000000048,pay_J16DVTJA0ASSNH,717000,14340,2581,0,NETBANKING,CAPTURED,2026-06-17T03:33:41
10000000-0000-4000-8000-000000000049,00000000-0000-4000-8000-000000000049,pay_JNV07OXK8C1GRA,164300,3286,591,0,NETBANKING,CAPTURED,2026-06-14T15:51:12
10000000-0000-4000-8000-000000000050,00000000-0000-4000-8000-000000000050,pay_8U118QQVAECW9Y,1157200,23144,4166,0,CARD,CAPTURED,2026-06-17T09:06:52
10000000-0000-4000-8000-000000000051,00000000-0000-4000-8000-000000000051,pay_5R96KHUB2RTSOY,1491300,29826,5369,0,CARD,CAPTURED,2026-07-20T17:55:47
10000000-0000-4000-8000-000000000052,00000000-0000-4000-8000-000000000052,pay_LRJ4BDFHJ4D0JM,894700,17894,3221,0,NETBANKING,CAPTURED,2026-06-10T18:49:37
10000000-0000-4000-8000-000000000053,00000000-0000-4000-8000-000000000053,pay_4EIJ00HOD7RB1S,294000,5880,1058,0,UPI,CAPTURED,2026-07-03T15:04:26
10000000-0000-4000-8000-000000000054,00000000-0000-4000-8000-000000000054,pay_QA78RAPKIANOUO,583300,11666,2100,0,CARD,CAPTURED,2026-06-24T04:58:08
10000000-0000-4000-8000-000000000055,00000000-0000-4000-8000-000000000055,pay_48C1CQG433E1I1,560900,11218,2019,0,WALLET,CAPTURED,2026-07-01T01:09:27
10000000-0000-4000-8000-000000000056,00000000-0000-4000-8000-000000000056,pay_MFTDRLUXM60AN0,118200,2364,426,0,NETBANKING,CAPTURED,2026-07-17T22:46:06
10000000-0000-4000-8000-000000000057,00000000-0000-4000-8000-000000000057,pay_4E5HRDU4XSZJNV,129100,2582,465,0,UPI,CAPTURED,2026-06-24T23:59:23
10000000-0000-4000-8000-000000000058,00000000-0000-4000-8000-000000000058,pay_PML9LN1P0VUH17,894600,17892,3221,0,NETBANKING,CAPTURED,2026-06-06T05:45:44
10000000-0000-4000-8000-000000000059,00000000-0000-4000-8000-000000000059,pay_B3N27M5P7E1047,1072100,21442,3860,0,WALLET,CAPTURED,2026-08-17T21:40:20
10000000-0000-4000-8000-000000000060,00000000-0000-4000-8000-000000000060,pay_MLVAK9W9PFB3HN,713800,14276,2570,0,UPI,CAPTURED,2026-08-15T15:03:33
10000000-0000-4000-8000-000000000061,00000000-0000-4000-8000-000000000061,pay_SZ6RVDH8UZB7KR,398600,7972,1435,0,CARD,CAPTURED,2026-06-07T14:04:23
10000000-0000-4000-8000-000000000062,00000000-0000-4000-8000-000000000062,pay_XUFCTZG4FBL98K,1281500,25630,4613,0,NETBANKING,CAPTURED,2026-08-12T15:39:34
10000000-0000-4000-8000-000000000063,00000000-0000-4000-8000-000000000063,pay_3ZO7UTXZBDQ55I,1015900,20318,3657,0,WALLET,CAPTURED,2026-07-09T01:31:46
10000000-0000-4000-8000-000000000064,00000000-0000-4000-8000-000000000064,pay_SN2S8NN16UXF5G,614500,12290,2212,0,UPI,CAPTURED,2026-07-03T23:05:23
10000000-0000-4000-8000-000000000065,00000000-0000-4000-8000-000000000065,pay_VYV2GQU7DKNNCP,1121000,22420,4036,0,UPI,CAPTURED,2026-08-07T05:52:36
10000000-0000-4000-8000-000000000066,00000000-0000-4000-8000-000000000066,pay_W6TM2O04K0LTHY,808700,16174,2911,0,NETBANKING,CAPTURED,2026-06-08T04:56:36
10000000-0000-4000-8000-000000000067,00000000-0000-4000-8000-000000000067,pay_BN5ELB45L6D10A,356000,7120,1282,0,NETBANKING,CAPTURED,2026-06-24T04:50:16
10000000-0000-4000-8000-000000000068,00000000-0000-4000-8000-000000000068,pay_1UD2ZDLX1Q8F6J,148500,2970,535,0,NETBANKING,CAPTURED,2026-08-04T19:25:37
10000000-0000-4000-8000-000000000069,00000000-0000-4000-8000-000000000069,pay_VLDQLOVYV3LXCH,207200,4144,746,0,CARD,CAPTURED,2026-06-17T17:43:32
10000000-0000-4000-8000-000000000070,00000000-0000-4000-8000-000000000070,pay_GFT4MPK5EAXF5X,365900,7318,1317,0,CARD,CAPTURED,2026-07-05T19:50:52
10000000-0000-4000-8000-000000000071,00000000-0000-4000-8000-000000000071,pay_TUW6TAQ6ULM9KG,1140600,22812,4106,0,NETBANKING,CAPTURED,2026-06-06T02:50:58
10000000-0000-4000-8000-000000000072,00000000-0000-4000-8000-000000000072,pay_GU4BJ3BQRR87IY,1209300,24186,4353,0,WALLET,CAPTURED,2026-06-06T16:01:51
10000000-0000-4000-8000-000000000073,00000000-0000-4000-8000-000000000073,pay_D7X48WZE4EX6U8,58700,1174,211,0,UPI,CAPTURED,2026-08-05T01:14:44
10000000-0000-4000-8000-000000000074,00000000-0000-4000-8000-000000000074,pay_7XJZ6US7RP422T,1069000,21380,3848,0,UPI,CAPTURED,2026-08-10T23:46:25
10000000-0000-4000-8000-000000000075,00000000-0000-4000-8000-000000000075,pay_C2BE3YQY5FU7BF,80500,1610,290,0,UPI,CAPTURED,2026-07-03T00:36:07
10000000-0000-4000-8000-000000000076,00000000-0000-4000-8000-000000000076,pay_W2MAIETDN1TH1X,1022600,20452,3681,0,NETBANKING,CAPTURED,2026-08-06T18:12:03
10000000-0000-4000-8000-000000000077,00000000-0000-4000-8000-000000000077,pay_7QNEZW9HEYCE4Q,257300,5146,926,0,CARD,CAPTURED,2026-08-23T15:52:34
10000000-0000-4000-8000-000000000078,00000000-0000-4000-8000-000000000078,pay_K1ZWUHYWM7S6NB,889700,17794,3203,0,WALLET,CAPTURED,2026-07-11T12:07:26
10000000-0000-4000-8000-000000000079,00000000-0000-4000-8000-000000000079,pay_6K8DJZR5SWK8TE,151200,3024,544,0,NETBANKING,CAPTURED,2026-07-02T03:10:57
10000000-0000-4000-8000-000000000080,00000000-0000-4000-8000-000000000080,pay_819Y207MERBYEA,1487800,29756,5356,0,CARD,CAPTURED,2026-07-23T17:15:31
10000000-0000-4000-8000-000000000081,00000000-0000-4000-8000-000000000081,pay_VHS21HD4Y89ORV,554600,11092,1997,0,UPI,CAPTURED,2026-07-15T03:22:31
10000000-0000-4000-8000-000000000082,00000000-0000-4000-8000-000000000082,pay_KR3KVR0I2FKXWE,324600,6492,1169,0,NETBANKING,CAPTURED,2026-08-12T07:15:31
10000000-0000-4000-8000-000000000083,00000000-0000-4000-8000-000000000083,pay_2JZNTMFEK2O7FH,1374500,27490,4948,0,CARD,CAPTURED,2026-07-19T11:31:13
10000000-0000-4000-8000-000000000084,00000000-0000-4000-8000-000000000084,pay_Q6BKADEVVHYBF0,991700,19834,3570,0,NETBANKING,CAPTURED,2026-06-06T18:42:01
10000000-0000-4000-8000-000000000085,00000000-0000-4000-8000-000000000085,pay_Q0Y4IO9P4627NA,650300,13006,2341,0,WALLET,CAPTURED,2026-06-27T04:13:09
10000000-0000-4000-8000-000000000086,00000000-0000-4000-8000-000000000086,pay_AGVLKW1XSRQKRS,836000,16720,3010,0,NETBANKING,CAPTURED,2026-08-23T02:29:28
10000000-0000-4000-8000-000000000087,00000000-0000-4000-8000-000000000087,pay_QALULDRYHR3YFK,53300,1066,192,0,WALLET,CAPTURED,2026-07-07T09:42:33
10000000-0000-4000-8000-000000000088,00000000-0000-4000-8000-000000000088,pay_34670CHQI014O4,1065000,21300,3834,0,UPI,CAPTURED,2026-07-01T09:45:39
10000000-0000-4000-8000-000000000089,00000000-0000-4000-8000-000000000089,pay_SEXU1SRDV1L303,955300,19106,3439,0,CARD,CAPTURED,2026-07-30T04:05:01
10000000-0000-4000-8000-000000000090,00000000-0000-4000-8000-000000000090,pay_71K4FPL3X2JC2R,512800,10256,1846,0,WALLET,CAPTURED,2026-07-10T09:18:43
10000000-0000-4000-8000-000000000091,00000000-0000-4000-8000-000000000091,pay_G585I87XW69HZG,699000,13980,2516,0,WALLET,CAPTURED,2026-08-04T03:04:42
10000000-0000-4000-8000-000000000092,00000000-0000-4000-8000-000000000092,pay_Z0JDCLI6978V0B,1188600,23772,4279,0,NETBANKING,CAPTURED,2026-06-03T07:43:52
10000000-0000-4000-8000-000000000093,00000000-0000-4000-8000-000000000093,pay_GQFQE6RP9UQEZF,109300,2186,393,0,NETBANKING,CAPTURED,2026-08-05T05:24:43
10000000-0000-4000-8000-000000000094,00000000-0000-4000-8000-000000000094,pay_2K20TVDJI1OAHN,366200,7324,1318,0,WALLET,CAPTURED,2026-06-18T04:42:40
10000000-0000-4000-8000-000000000095,00000000-0000-4000-8000-000000000095,pay_SKBCBDPDXUJJCS,1398600,27972,5035,1398600,UPI,REFUNDED,2026-08-13T10:56:39
10000000-0000-4000-8000-000000000096,00000000-0000-4000-8000-000000000096,pay_3ZGARFI44TD1FP,332500,6650,1197,0,UPI,CAPTURED,2026-08-12T00:30:24
10000000-0000-4000-8000-000000000097,00000000-0000-4000-8000-000000000097,pay_AKGMIH6MV4XEKZ,1162700,23254,4186,0,WALLET,CAPTURED,2026-07-16T16:19:49
10000000-0000-4000-8000-000000000098,00000000-0000-4000-8000-000000000098,pay_DB828192V4DUSG,1009900,20198,3636,0,UPI,CAPTURED,2026-06-02T18:46:20
10000000-0000-4000-8000-000000000099,00000000-0000-4000-8000-000000000099,pay_MO1POB7FU99259,133900,2678,482,0,WALLET,CAPTURED,2026-08-28T18:50:22
10000000-0000-4000-8000-000000000100,00000000-0000-4000-8000-000000000100,pay_CNWMBXEK0Q929U,200800,4016,723,0,CARD,CAPTURED,2026-07-06T18:23:59
10000000-0000-4000-8000-000000000101,00000000-0000-4000-8000-000000000101,pay_EHR07N8VOEUBFN,1434200,28684,5163,0,NETBANKING,CAPTURED,2026-05-31T18:41:14
10000000-0000-4000-8000-000000000102,00000000-0000-4000-8000-000000000102,pay_ZU2ZUEUGWUBUGR,164900,3298,594,82450,UPI,CAPTURED,2026-07-25T23:31:05
10000000-0000-4000-8000-000000000103,00000000-0000-4000-8000-000000000103,pay_1VR1NECQOROI5J,351700,7034,1266,175850,UPI,CAPTURED,2026-08-14T01:53:27
10000000-0000-4000-8000-000000000104,00000000-0000-4000-8000-000000000104,pay_8LYMJ1QI9MQVAY,1020000,20400,3672,0,UPI,CAPTURED,2026-07-05T07:40:56
10000000-0000-4000-8000-000000000105,00000000-0000-4000-8000-000000000105,pay_6ZHH3O5URTXUYU,479800,9596,1727,0,UPI,CAPTURED,2026-07-14T01:20:41
10000000-0000-4000-8000-000000000106,00000000-0000-4000-8000-000000000106,pay_HLCWBPA274IR83,141800,2836,510,70900,NETBANKING,CAPTURED,2026-08-01T15:26:07
10000000-0000-4000-8000-000000000107,00000000-0000-4000-8000-000000000107,pay_AZV46ESMRWGEBE,196800,3936,708,0,WALLET,CAPTURED,2026-06-15T07:00:45
10000000-0000-4000-8000-000000000108,00000000-0000-4000-8000-000000000108,pay_I08L0HG9NCBEKG,1042100,20842,3752,0,NETBANKING,CAPTURED,2026-07-31T16:59:11
10000000-0000-4000-8000-000000000109,00000000-0000-4000-8000-000000000109,pay_KFIWKESVR022WG,1419800,28396,5111,0,WALLET,CAPTURED,2026-06-15T06:53:30
10000000-0000-4000-8000-000000000110,00000000-0000-4000-8000-000000000110,pay_IXMC4SX27DCBHH,314100,6282,1131,0,NETBANKING,CAPTURED,2026-07-12T00:54:08
10000000-0000-4000-8000-000000000111,00000000-0000-4000-8000-000000000111,pay_VE4ZTJ1KM9831A,332200,6644,1196,0,CARD,CAPTURED,2026-07-22T10:00:02
10000000-0000-4000-8000-000000000112,00000000-0000-4000-8000-000000000112,pay_6UON8CNRL8XKGY,1329200,26584,4785,0,CARD,CAPTURED,2026-06-18T22:55:56
10000000-0000-4000-8000-000000000113,00000000-0000-4000-8000-000000000113,pay_5QU0K5QZZKW3GI,558700,11174,2011,0,WALLET,CAPTURED,2026-07-29T19:09:00
10000000-0000-4000-8000-000000000114,00000000-0000-4000-8000-000000000114,pay_CTI8F34GADKTOC,814100,16282,2931,0,UPI,CAPTURED,2026-06-05T16:54:31
10000000-0000-4000-8000-000000000115,00000000-0000-4000-8000-000000000115,pay_HT7EHMGOLOQC3X,330400,6608,1189,0,NETBANKING,CAPTURED,2026-06-19T22:49:16
10000000-0000-4000-8000-000000000116,00000000-0000-4000-8000-000000000116,pay_1R9Z27UJDLWN71,693400,13868,2496,0,CARD,CAPTURED,2026-08-21T07:57:38
10000000-0000-4000-8000-000000000117,00000000-0000-4000-8000-000000000117,pay_I0MHB792ZI5SGW,1249600,24992,4499,0,UPI,CAPTURED,2026-06-08T10:30:36
10000000-0000-4000-8000-000000000118,00000000-0000-4000-8000-000000000118,pay_TGNLKURLZH6A50,900000,18000,3240,0,NETBANKING,CAPTURED,2026-07-22T21:40:27
10000000-0000-4000-8000-000000000119,00000000-0000-4000-8000-000000000119,pay_1X7OV6SGP3JK8X,40100,802,144,0,WALLET,CAPTURED,2026-06-06T05:52:57
10000000-0000-4000-8000-000000000120,00000000-0000-4000-8000-000000000120,pay_FKNJMVRYDC1AU9,1442600,28852,5193,0,UPI,CAPTURED,2026-06-11T03:58:39
10000000-0000-4000-8000-000000000121,00000000-0000-4000-8000-000000000121,pay_580YIR02M77RXZ,1058200,21164,3810,0,UPI,CAPTURED,2026-07-19T00:36:43
10000000-0000-4000-8000-000000000122,00000000-0000-4000-8000-000000000122,pay_71VXNZ0NXU43IE,1448400,28968,5214,0,UPI,CAPTURED,2026-06-02T12:07:04
10000000-0000-4000-8000-000000000123,00000000-0000-4000-8000-000000000123,pay_UWHK8C3FZ47I07,467900,9358,1684,0,CARD,CAPTURED,2026-06-02T04:30:10
10000000-0000-4000-8000-000000000124,00000000-0000-4000-8000-000000000124,pay_47D9GB9XV8WOBI,719600,14392,2591,0,WALLET,CAPTURED,2026-08-11T13:42:45
10000000-0000-4000-8000-000000000125,00000000-0000-4000-8000-000000000125,pay_SVZ2E186GVGT2E,820300,16406,2953,0,CARD,CAPTURED,2026-06-22T19:18:18
10000000-0000-4000-8000-000000000126,00000000-0000-4000-8000-000000000126,pay_6OCJPZTC09ZGNX,645400,12908,2323,0,CARD,CAPTURED,2026-07-28T09:29:41
10000000-0000-4000-8000-000000000127,00000000-0000-4000-8000-000000000127,pay_N8IJTYOLD62F2J,1310600,26212,4718,0,UPI,CAPTURED,2026-08-10T11:31:18
10000000-0000-4000-8000-000000000128,00000000-0000-4000-8000-000000000128,pay_QPMQK8SZ7IWDL1,705100,14102,2538,352550,UPI,CAPTURED,2026-07-29T22:10:04
10000000-0000-4000-8000-000000000129,00000000-0000-4000-8000-000000000129,pay_RG8MY344KRJAWO,103300,2066,372,0,NETBANKING,CAPTURED,2026-06-25T12:52:16
10000000-0000-4000-8000-000000000130,00000000-0000-4000-8000-000000000130,pay_KEPLBX889ERRYE,201200,4024,724,0,WALLET,CAPTURED,2026-05-31T07:13:50
10000000-0000-4000-8000-000000000131,00000000-0000-4000-8000-000000000131,pay_97PWDBOLWIMRSX,82700,1654,298,0,NETBANKING,CAPTURED,2026-08-13T14:36:40
10000000-0000-4000-8000-000000000132,00000000-0000-4000-8000-000000000132,pay_7WKR1TFEPZ614U,181500,3630,653,0,NETBANKING,CAPTURED,2026-05-31T16:14:16
10000000-0000-4000-8000-000000000133,00000000-0000-4000-8000-000000000133,pay_9WAM0KJAX57U0Y,503000,10060,1811,0,NETBANKING,CAPTURED,2026-07-08T22:16:16
10000000-0000-4000-8000-000000000134,00000000-0000-4000-8000-000000000134,pay_31XBIDFWA88D0M,53800,1076,194,0,UPI,CAPTURED,2026-07-12T13:58:57
10000000-0000-4000-8000-000000000135,00000000-0000-4000-8000-000000000135,pay_TVYFYK3MD6X73Z,311600,6232,1122,0,UPI,CAPTURED,2026-06-13T05:30:31
10000000-0000-4000-8000-000000000136,00000000-0000-4000-8000-000000000136,pay_A9AU87CM453KF4,405200,8104,1459,0,WALLET,CAPTURED,2026-06-01T03:10:44
10000000-0000-4000-8000-000000000137,00000000-0000-4000-8000-000000000137,pay_Y5T37SZPF9S9EH,1384100,27682,4983,0,UPI,CAPTURED,2026-08-28T14:26:03
10000000-0000-4000-8000-000000000138,00000000-0000-4000-8000-000000000138,pay_H109ZDO0D3FVNV,672200,13444,2420,0,UPI,CAPTURED,2026-07-15T10:17:05
10000000-0000-4000-8000-000000000139,00000000-0000-4000-8000-000000000139,pay_FKNDG1JRJ5XFEU,297900,5958,1072,0,UPI,CAPTURED,2026-07-02T11:25:31
10000000-0000-4000-8000-000000000140,00000000-0000-4000-8000-000000000140,pay_7EN48NYSJ5YWX0,690000,13800,2484,0,CARD,CAPTURED,2026-07-24T14:36:14
10000000-0000-4000-8000-000000000141,00000000-0000-4000-8000-000000000141,pay_RYFZMYOA2VCYWL,706500,14130,2543,353250,NETBANKING,CAPTURED,2026-08-04T12:43:01
10000000-0000-4000-8000-000000000142,00000000-0000-4000-8000-000000000142,pay_QNTFPKXYWZ76DD,205600,4112,740,102800,UPI,CAPTURED,2026-06-24T12:13:40
10000000-0000-4000-8000-000000000143,00000000-0000-4000-8000-000000000143,pay_VM89I9GX32UEW9,1363400,27268,4908,0,CARD,CAPTURED,2026-07-13T18:53:54
10000000-0000-4000-8000-000000000144,00000000-0000-4000-8000-000000000144,pay_WWUDQVDK6DRN4O,155800,3116,561,0,WALLET,CAPTURED,2026-08-23T10:01:06
10000000-0000-4000-8000-000000000145,00000000-0000-4000-8000-000000000145,pay_TK0RSOGGY5KOV1,590900,11818,2127,0,NETBANKING,CAPTURED,2026-08-04T03:21:00
10000000-0000-4000-8000-000000000146,00000000-0000-4000-8000-000000000146,pay_UNVSDKV54C6P1L,1492400,29848,5373,0,NETBANKING,CAPTURED,2026-06-18T11:42:34
10000000-0000-4000-8000-000000000147,00000000-0000-4000-8000-000000000147,pay_BBADLYPGG6N697,1032300,20646,3716,0,UPI,CAPTURED,2026-08-14T13:36:57
10000000-0000-4000-8000-000000000148,00000000-0000-4000-8000-000000000148,pay_DHVS41LQFS6HN9,327700,6554,1180,0,CARD,CAPTURED,2026-07-01T14:01:35
10000000-0000-4000-8000-000000000149,00000000-0000-4000-8000-000000000149,pay_6UITJ5ZOOH3YRG,208600,4172,751,0,CARD,CAPTURED,2026-08-15T07:59:52
10000000-0000-4000-8000-000000000150,00000000-0000-4000-8000-000000000150,pay_MRMTXJQ3KMSX54,518900,10378,1868,0,WALLET,CAPTURED,2026-08-17T03:38:30
10000000-0000-4000-8000-000000000151,00000000-0000-4000-8000-000000000151,pay_RYQF8WXKK2ABKV,200400,4008,721,200400,UPI,REFUNDED,2026-07-16T10:30:18
10000000-0000-4000-8000-000000000152,00000000-0000-4000-8000-000000000152,pay_QG24DSYSYMMQ8Q,948300,18966,3414,0,UPI,CAPTURED,2026-08-19T10:49:57
10000000-0000-4000-8000-000000000153,00000000-0000-4000-8000-000000000153,pay_3WHCF5SIDASO7K,1198100,23962,4313,0,WALLET,CAPTURED,2026-06-10T11:19:15
10000000-0000-4000-8000-000000000154,00000000-0000-4000-8000-000000000154,pay_9M4SMZOCXMZMZ2,473500,9470,1705,0,NETBANKING,CAPTURED,2026-07-01T16:41:42
